country,period,log_rel_flu_level,cov_daily_cases,workplace_presence_reduction,idvi,age,T,RH,latitude,longitude,nb_days_school_closure,nb_days_workplace_closure,nb_days_public_event_restrictions,nb_days_gathering_restrictions,nb_days_public_transport_restrictions,nb_days_stay_at_home_requirements,nb_days_facial_covering_requirements,nb_days_elderly_shielding,nb_days_international_travel_restrictions,nb_days_testing_implementation,nb_days_contact_tracing_implementation
Costa Rica,winter2021,-2.649966503615633,124.33554945054944,22.0,0.73696,33.6,299.3008512662187,80.34423051258997,9.95491745690512,-84.11010797166499,56.0,91.0,91.0,91.0,0.0,91.0,91.0,91.0,0.0,0.0,0.0
Croatia,spring2021,-2.38292829995622,289.4698351648352,13.181818181818182,0.719996,44.0,285.87451171875,66.78375244140625,45.81444,15.977980000000002,21.0,7.0,0.0,91.0,62.0,7.0,91.0,43.0,84.0,84.0,0.0
Croatia,winter2021,-2.4541186726923634,202.34990109890103,26.954545454545453,0.719996,44.0,278.7257080078125,77.32034301757812,45.81444,15.977980000000002,49.0,77.0,0.0,91.0,82.0,0.0,91.0,91.0,91.0,91.0,18.0
Côte d'Ivoire,autumn2020,-0.1633942700683155,1.0833516483516483,10.538461538461538,0.270743,18.7,298.59070678596447,84.59285202881784,5.577917574905649,-4.125751344442011,0.0,0.0,0.0,0.0,0.0,8.0,46.0,0.0,46.0,0.0,91.0
Côte d'Ivoire,spring2020,-0.6508446088234057,2.064692307692308,3.333333333333333,0.270743,18.7,299.6852105248294,84.30419840109451,5.577917574905649,-4.125751344442011,61.0,50.0,80.0,50.0,53.0,82.0,0.0,0.0,91.0,0.0,0.0
Côte d'Ivoire,spring2021,-0.402014131471783,4.065659340659341,13.076923076923077,0.270743,18.7,299.71680021385873,82.6602995718243,5.577917574905649,-4.125751344442011,0.0,0.0,0.0,0.0,0.0,91.0,91.0,0.0,76.0,15.0,76.0
Côte d'Ivoire,summer2020,-0.5364919661505398,5.65787912087912,0.9166666666666666,0.270743,18.7,297.094850278508,86.63827477683388,5.577917574905649,-4.125751344442011,0.0,35.0,46.0,0.0,0.0,24.0,24.0,0.0,66.0,0.0,60.0
Côte d'Ivoire,summer2021,-1.1090721719439096,4.2029010989011,9.76923076923077,0.270743,18.7,297.5760691411395,85.39290734228453,5.577917574905649,-4.125751344442011,0.0,0.0,0.0,0.0,0.0,85.0,91.0,0.0,6.0,12.0,0.0
Côte d'Ivoire,winter2021,-0.3321859026550875,6.488087912087913,16.923076923076923,0.270743,18.7,299.7990637178633,82.17588167954902,5.577917574905649,-4.125751344442011,0.0,0.0,0.0,0.0,0.0,69.0,69.0,0.0,26.0,0.0,57.0
Denmark,spring2020,-0.8158605152193467,21.41548351648352,29.83838383838384,0.953641,42.3,282.0119934082031,64.17538452148438,55.67594,12.56553,91.0,89.0,0.0,91.0,91.0,91.0,0.0,90.0,91.0,34.0,0.0
Denmark,spring2021,-2.348908438950254,131.2166923076923,18.43,0.953641,42.3,281.619140625,69.69851684570312,55.67594,12.56553,91.0,91.0,91.0,91.0,0.0,67.0,0.0,91.0,91.0,91.0,0.0
Denmark,winter2021,-2.531146352923616,209.2605384615385,35.4,0.953641,42.3,274.6605529785156,84.06424713134766,55.67594,12.56553,70.0,70.0,70.0,91.0,0.0,70.0,0.0,91.0,91.0,91.0,0.0
